dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.40246358304284513
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.4262961660278961
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,5,0.1,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9868149105363488,0.4832450410176534
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.4014565830002539
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.3959859599999618
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.1715582089673262
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_threshold,6,0.1,2,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9860231154650548,0.2533131269738078
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.17192691698437557
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_threshold,7,0.1,2,0.14285714285714285,1.0,0.25,0.14285714285714285,0.5714285714285714,0.9847706290648417,0.27028633398003876
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.1735279579879716
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_threshold,8,0.0,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9849882766665329,0.2501657930552028
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.19279270904371515
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_threshold,5,0.1,2,0.0,0.0,0.0,0.2,0.6,0.9856175771358536,0.26818624898442067
parabola,nonlinear,regression,skb_f,,,,,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9867411990708502,0.141619875037577
parabola,nonlinear,regression,skb_mi,,,,,val_fixed_k,2,,2,0.5,1.0,0.6666666666666666,0.0,0.0,0.9880976666955938,0.16559704003157094
radial,nonlinear,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,0,0.5,0.5,0.5,0.0,0.0,0.9791666666666667,0.38840429196716286
radial,nonlinear,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,2,0.1,0,0.5,0.5,0.5,0.0,0.0,0.9791666666666667,0.3750822090078145
radial,nonlinear,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,0,0.5,0.5,0.5,0.0,0.0,0.9791666666666667,0.39350766799179837
radial,nonlinear,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,6,0.1,0,0.3333333333333333,1.0,0.5,0.0,0.5,0.9458333333333333,0.4038907930080313
radial,nonlinear,classification,MIFS,difference,sum,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,0,0.5,0.5,0.5,0.0,0.0,0.9791666666666667,0.40469525000662543
radial,nonlinear,classification,MIFS,difference,sum,mutual_info_classif,mutual_info_sklearn,val_threshold,2,0.1,0,0.5,0.5,0.5,0.0,0.0,0.9791666666666667,0.3742725840129424
radial,nonlinear,classification,FCD,difference,mean,f_classif,pearson_abs,val_fixed_k,5,,0,0.2,0.5,0.28571428571428575,0.0,0.6,0.9583333333333333,0.16167679100180976
radial,nonlinear,classification,FCD,difference,mean,f_classif,pearson_abs,val_threshold,5,0.1,0,0.2,0.5,0.28571428571428575,0.0,0.6,0.9583333333333333,0.1744015829754062
radial,nonlinear,classification,FCQ,quotient,mean,f_classif,pearson_abs,val_fixed_k,5,,0,0.2,0.5,0.28571428571428575,0.0,0.6,0.9583333333333333,0.16205183399142697
radial,nonlinear,classification,FCQ,quotient,mean,f_classif,pearson_abs,val_threshold,8,0.0,0,0.25,1.0,0.4,0.0,0.625,0.9375,0.1819299589842558
radial,nonlinear,classification,ModMRMR,multiplicative,max,f_classif,pearson_abs,val_fixed_k,5,,0,0.2,0.5,0.28571428571428575,0.0,0.6,0.9583333333333333,0.16251875000307336
radial,nonlinear,classification,ModMRMR,multiplicative,max,f_classif,pearson_abs,val_threshold,8,0.0,0,0.25,1.0,0.4,0.0,0.625,0.95,0.18190820698509924
radial,nonlinear,classification,ModMRMR_dcor,multiplicative,max,f_classif,distance_corr,val_fixed_k,5,,0,0.2,0.5,0.28571428571428575,0.0,0.6,0.9583333333333333,0.18007616698741913
radial,nonlinear,classification,ModMRMR_dcor,multiplicative,max,f_classif,distance_corr,val_threshold,8,0.0,0,0.25,1.0,0.4,0.0,0.625,0.95,0.19830145899322815
radial,nonlinear,classification,skb_f,,,,,val_fixed_k,5,,0,0.2,0.5,0.28571428571428575,0.0,0.6,0.9541666666666666,0.1271606249792967
radial,nonlinear,classification,skb_mi,,,,,val_fixed_k,5,,0,0.4,1.0,0.5714285714285715,0.0,0.4,0.95,0.1508170830202289
radial,nonlinear,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,1,1.0,1.0,1.0,0.0,0.0,0.9625,0.38569812598871067
radial,nonlinear,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,2,0.1,1,1.0,1.0,1.0,0.0,0.0,0.9625,0.38653312501264736
radial,nonlinear,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,1,0.5,0.5,0.5,0.0,0.5,0.7333333333333334,0.3858921650098637
radial,nonlinear,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,5,0.1,1,0.4,1.0,0.5714285714285715,0.0,0.4,0.9666666666666667,0.4027594159997534
radial,nonlinear,classification,MIFS,difference,sum,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,1,1.0,1.0,1.0,0.0,0.0,0.9625,0.3870134149910882
radial,nonlinear,classification,MIFS,difference,sum,mutual_info_classif,mutual_info_sklearn,val_threshold,2,0.1,1,1.0,1.0,1.0,0.0,0.0,0.9625,0.38860920796287246
radial,nonlinear,classification,FCD,difference,mean,f_classif,pearson_abs,val_fixed_k,5,,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.16281012602848932
radial,nonlinear,classification,FCD,difference,mean,f_classif,pearson_abs,val_threshold,5,0.0,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.17710745902149938
radial,nonlinear,classification,FCQ,quotient,mean,f_classif,pearson_abs,val_fixed_k,5,,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.16382483299821615
radial,nonlinear,classification,FCQ,quotient,mean,f_classif,pearson_abs,val_threshold,8,0.0,1,0.25,1.0,0.4,0.0,0.625,0.9541666666666666,0.18413220799993724
radial,nonlinear,classification,ModMRMR,multiplicative,max,f_classif,pearson_abs,val_fixed_k,5,,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.17148441597237252
radial,nonlinear,classification,ModMRMR,multiplicative,max,f_classif,pearson_abs,val_threshold,5,0.1,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.18022433301666752
radial,nonlinear,classification,ModMRMR_dcor,multiplicative,max,f_classif,distance_corr,val_fixed_k,5,,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.18233587400754914
radial,nonlinear,classification,ModMRMR_dcor,multiplicative,max,f_classif,distance_corr,val_threshold,5,0.1,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7375,0.1960615000280086
radial,nonlinear,classification,skb_f,,,,,val_fixed_k,5,,1,0.2,0.5,0.28571428571428575,0.0,0.6,0.7458333333333333,0.13614395799231716
radial,nonlinear,classification,skb_mi,,,,,val_fixed_k,5,,1,0.4,1.0,0.5714285714285715,0.0,0.4,0.9624999999999999,0.17020174898789264
radial,nonlinear,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,2,1.0,1.0,1.0,0.0,0.0,0.9625,0.386468791984953
radial,nonlinear,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,2,0.1,2,1.0,1.0,1.0,0.0,0.0,0.9625,0.3921044170274399
radial,nonlinear,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,2,,2,1.0,1.0,1.0,0.0,0.0,0.9625,0.38341587502509356
