estimator,dependence,precision,recall,f1,redundancy_rate,noise_rate,average_precision,roc_auc,downstream_score
ami_adaptive,linear,0.3977124183006536,0.5849673202614379,0.4244404288521935,0.0375,0.21437908496732028,0.49775541270639306,0.6789141414141414,0.8644209405304322
ami_adaptive,mixed,0.5041111111111111,0.484,0.3567957351395382,0.0,0.32855555555555555,0.6928465608465608,0.6485142857142857,0.7127757596371623
ami_adaptive,nonlinear,0.34861111111111115,0.7583333333333333,0.43063492063492065,0.06583333333333334,0.3368055555555555,0.6180555555555556,0.7650793650793651,0.8581497372420978
bspline_mi,linear,0.4889705882352941,0.6748366013071895,0.5073611029493382,0.009313725490196078,0.25245098039215685,0.6192089228853934,0.7635695187165774,0.8682353586445857
bspline_mi,mixed,0.5112222222222222,0.5315555555555556,0.39077485738181833,0.0,0.38611111111111107,0.7613121693121694,0.6873269841269841,0.7193668674446635
bspline_mi,nonlinear,0.21916666666666668,0.575,0.2953174603174603,0.019166666666666665,0.48847222222222225,0.36031746031746026,0.5826388888888889,0.6919297854934989
copula_mi,linear,0.3946895424836601,0.5866013071895424,0.42254020489314603,0.03504901960784314,0.21372549019607845,0.4925064042711102,0.6786021984551397,0.8674542953795414
copula_mi,mixed,0.5567777777777778,0.528,0.40181323615703923,0.0,0.343,0.7759693121693122,0.6924349206349206,0.7285003963521521
copula_mi,nonlinear,0.3652777777777778,0.7666666666666667,0.4417460317460318,0.06583333333333334,0.32013888888888886,0.6416666666666667,0.778968253968254,0.8585424162037434
gcmi,linear,0.4748366013071895,0.6797385620915032,0.502356303826892,0.050980392156862744,0.1803921568627451,0.6009977495271613,0.7665255496137849,0.8655250102741011
gcmi,mixed,0.5245555555555556,0.46622222222222226,0.3535598092720334,0.0,0.3601111111111111,0.7081400352733686,0.6426444444444445,0.7268064702872351
gcmi,nonlinear,0.1625,0.4583333333333333,0.21634920634920635,0.0125,0.5995833333333334,0.30126984126984124,0.46875,0.7308092442951923
kde_mi,linear,0.48022875816993466,0.673202614379085,0.5005509196685667,0.03333333333333333,0.19950980392156864,0.6003238047355695,0.75941770647653,0.8678713338267906
kde_mi,mixed,0.5384444444444444,0.5146666666666667,0.3801886570324601,0.0,0.3151111111111111,0.7150857142857143,0.6771968253968254,0.7198858485474634
kde_mi,nonlinear,0.30694444444444446,0.7333333333333333,0.4000793650793651,0.042499999999999996,0.4079166666666667,0.5547619047619048,0.7338293650793651,0.8559877085544696
ksg_k16,linear,0.44223856209150325,0.630718954248366,0.4635612753259812,0.03529411764705882,0.20669934640522875,0.5527251071368718,0.717617349970291,0.8657756293692447
ksg_k16,mixed,0.5197777777777778,0.4924444444444444,0.3669599413037444,0.0,0.33288888888888885,0.7152190476190476,0.6586317460317461,0.7182386307315951
ksg_k16,nonlinear,0.3236111111111111,0.7416666666666667,0.41119047619047616,0.06583333333333334,0.3368055555555555,0.5795833333333333,0.7449404761904762,0.8568648420239529
ksg_mi,linear,0.41045751633986927,0.5947712418300654,0.4333016656546068,0.0375,0.2102124183006536,0.5258587908097713,0.6877079619726678,0.8654815617583209
ksg_mi,mixed,0.4873333333333333,0.47688888888888886,0.3484296382734413,0.0,0.3453333333333333,0.6899195767195767,0.6392095238095238,0.7217739729156064
ksg_mi,nonlinear,0.3119444444444444,0.725,0.3980952380952381,0.06583333333333334,0.3651388888888889,0.5708333333333333,0.728968253968254,0.8439739647910938
mi_reg_k16,linear,0.44223856209150325,0.630718954248366,0.4635612753259812,0.03529411764705882,0.20669934640522875,0.5527251071368718,0.717617349970291,0.8657756293692447
mi_reg_k16,mixed,0.5197777777777778,0.4924444444444444,0.3669599413037444,0.0,0.33288888888888885,0.7152190476190476,0.6586317460317461,0.7181967693608787
mi_reg_k16,nonlinear,0.3236111111111111,0.7416666666666667,0.41119047619047616,0.06583333333333334,0.3368055555555555,0.5795833333333333,0.7449404761904762,0.8568648420239529
mi_reg_k3,linear,0.41241830065359475,0.6176470588235294,0.4478908346555405,0.04199346405228758,0.20890522875816994,0.5298594651535827,0.7112076648841356,0.8662213743390771
mi_reg_k3,mixed,0.49100000000000005,0.4706666666666666,0.34251958536338845,0.0,0.33233333333333337,0.6855756613756614,0.6323015873015874,0.727947800815286
mi_reg_k3,nonlinear,0.35694444444444445,0.7666666666666667,0.43896825396825395,0.06583333333333334,0.36180555555555555,0.6597222222222222,0.7750992063492064,0.8490806618858487
