dataset,p,n,seed,mass_below_abs,mass_below_scaled,w_median,w_p05,tail_slope
madelon,500,2600,0,1.0,0.8734693877551021,0.015582562499167878,0.009996145798756524,1.8111430630517464
madelon,500,2600,1,0.9795918367346939,0.8408163265306122,0.015463718165000324,0.010105547610260716,3.636730188749321
madelon,500,2600,2,0.9714285714285714,0.8224489795918367,0.015700460820645308,0.009537371108652251,3.5350827234433084
madelon,500,2600,3,1.0,0.863265306122449,0.015339707776569424,0.00999300068271473,2.4144733361325335
madelon,500,2600,4,1.0,0.863265306122449,0.015245823467923823,0.010143713425359612,1.8577811540233655
madelon,500,2600,5,1.0,0.8755102040816326,0.015330061562741016,0.01005706828516947,1.6862618093081914
madelon,500,2600,6,0.9816326530612245,0.7877551020408163,0.015931099327239625,0.01019710044842813,3.4719685849254427
madelon,500,2600,7,1.0,0.8653061224489796,0.015585545094330088,0.009476031864680757,1.8832659015584041
madelon,500,2600,8,1.0,0.8714285714285714,0.015254068793124926,0.00996132870502749,2.3336669803947685
madelon,500,2600,9,1.0,0.8877551020408163,0.015378142969623398,0.00954748243412214,2.109925643033201
isolet,617,7797,0,0.029654036243822075,0.0,0.19956569835128163,0.0601951048392346,2.7917896650526357
isolet,617,7797,1,0.023064250411861616,0.0,0.18846794812567458,0.05825746631246778,3.0739798967964047
isolet,617,7797,2,0.02800658978583196,0.0,0.1851712951097984,0.0608899948648732,2.981022519420944
isolet,617,7797,3,0.036243822075782535,0.0,0.17867864061028726,0.056345121014557735,3.212716638222347
isolet,617,7797,4,0.014827018121911038,0.0,0.1656723272297842,0.07349811635892016,2.7614517245353882
isolet,617,7797,5,0.016474464579901153,0.0,0.15321767111801637,0.06520655635737486,3.933838432772153
isolet,617,7797,6,0.019769357495881382,0.0,0.15365794957679907,0.06577698273550701,3.137449067289598
isolet,617,7797,7,0.009884678747940691,0.0,0.16988488494777995,0.06603013889424417,4.268760698369399
isolet,617,7797,8,0.03789126853377265,0.0,0.1621443492490212,0.061424175443218196,2.8103178609519213
isolet,617,7797,9,0.009884678747940691,0.0,0.1556463484990312,0.07873280192986191,6.8389925500384825
riboflavin,4088,71,0,0.0,0.021088769004413928,0.32098156094684865,0.1401105282560107,2.331006654343006
riboflavin,4088,71,1,0.0,0.024031387935262383,0.3048527874504178,0.13841141541946614,2.4077215156529745
riboflavin,4088,71,2,0.0004904364884747426,0.029426189308484552,0.39291281697400515,0.1362161015828639,2.0730111773966726
riboflavin,4088,71,3,0.0,0.03948013732221677,0.31560009986943227,0.12691424924440425,2.414721048564748
riboflavin,4088,71,4,0.0,0.02918097106424718,0.387345755681473,0.13598695830620205,2.1086135775631867
riboflavin,4088,71,5,0.0,0.020107896027464444,0.341950636491244,0.14677939001583154,2.387965154410072
riboflavin,4088,71,6,0.0002452182442373713,0.026728788621873466,0.3871649971772003,0.13837331064475425,2.0995162429340724
riboflavin,4088,71,7,0.0,0.03114271701814615,0.4506739040104779,0.13338617643469708,2.039004164938738
riboflavin,4088,71,8,0.0,0.022560078469838155,0.27231346139771695,0.1400967283721697,2.581928689826338
riboflavin,4088,71,9,0.0,0.020598332515939184,0.35049015949945117,0.14736369258396642,2.2101476046483315
arcene,10000,200,0,0.12902902902902902,0.26666666666666666,0.18316064364299978,0.038608008337453384,3.5932498045571264
arcene,10000,200,1,0.13083083083083083,0.26586586586586586,0.1510617865338454,0.03846546321141396,3.045765487293373
arcene,10000,200,2,0.14734734734734733,0.26216216216216215,0.16951342527522156,0.036530323104174194,2.7556311924887353
arcene,10000,200,3,0.12792792792792793,0.26496496496496497,0.17373910758900346,0.039561076154821434,2.9191077430468964
arcene,10000,200,4,0.13003003003003002,0.26596596596596594,0.1619297199550469,0.0386745686734264,3.509552437404043
arcene,10000,200,5,0.12092092092092092,0.2815815815815816,0.15220410034500015,0.04056835077623651,3.6572797713633323
arcene,10000,200,6,0.12532532532532534,0.26246246246246246,0.20300318317276217,0.03898384985121555,3.4105826187461132
arcene,10000,200,7,0.14324324324324325,0.27087087087087086,0.15389119426657913,0.0373469959279386,3.250905813486074
arcene,10000,200,8,0.14494494494494495,0.2752752752752753,0.1783802891425013,0.036542177881711047,3.4098575116896357
arcene,10000,200,9,0.14074074074074075,0.3073073073073073,0.12400807264335828,0.03907645176642849,4.172117989182024
