metric,blocking,family,avg_rank,friedman_p,friedman_stat,n_blocks
f1,dataset,linear,1.6667,0.12660710278908405,4.133333333333326,15
f1,dataset,mixed,1.9333,0.12660710278908405,4.133333333333326,15
f1,dataset,nonlinear,2.4,0.12660710278908405,4.133333333333326,15
f1,mechanism,linear,1.7273,0.30672055757655525,2.363636363636374,11
f1,mechanism,mixed,1.9091,0.30672055757655525,2.363636363636374,11
f1,mechanism,nonlinear,2.3636,0.30672055757655525,2.363636363636374,11
