estimator,mean_ap_golden,mean_ap_nonlinear,mean_ap_linear,regresses_nonlinear
kde_mi,0.6251062064986116,0.5547619047619049,0.6003238047355693,True
copula_mi,0.6199719478833403,0.6416666666666667,0.4925064042711101,False
mi_reg_k3,0.6120133897982,0.6597222222222221,0.5298594651535827,False
ksg_k16,0.6109467911366646,0.5795833333333335,0.5527251071368717,True
mi_reg_k16,0.6109467911366646,0.5795833333333335,0.5527251071368717,True
bspline_mi,0.5986361622437572,0.3603174603174602,0.6192089228853934,True
ami_adaptive,0.5899488501809176,0.6180555555555556,0.497755412706393,True
ksg_mi,0.5891627211669406,0.5708333333333333,0.5258587908097712,True
mi_reg_k8,0.5891627211669406,0.5708333333333333,0.5258587908097712,True
mixed_ksg,0.5876158620251447,0.5912698412698413,0.5098035225486205,True
mi_reg_k5,0.5873482978968211,0.5912698412698413,0.5098035225486205,True
gcmi,0.5590230530525889,0.30126984126984124,0.6009977495271613,True
