metric,blocking,redundancy,mean,friedman_stat,friedman_p,span,n_blocks
f1,mechanism,distance_corr,0.4120560129033724,1.472727272727269,0.6885790135864035,0.02014026830399468,11
f1,mechanism,mutual_info_sklearn,0.39769078895124266,1.472727272727269,0.6885790135864035,0.02014026830399468,11
f1,mechanism,pearson_abs,0.41783105725523734,1.472727272727269,0.6885790135864035,0.02014026830399468,11
f1,mechanism,spearman_abs,0.4158108310045231,1.472727272727269,0.6885790135864035,0.02014026830399468,11
f1,dataset,distance_corr,0.4491343064715805,2.5999999999999943,0.45748954687818444,0.019859278303538286,15
f1,dataset,mutual_info_sklearn,0.4309606009869925,2.5999999999999943,0.45748954687818444,0.019859278303538286,15
f1,dataset,pearson_abs,0.4508198792905308,2.5999999999999943,0.45748954687818444,0.019859278303538286,15
f1,dataset,spearman_abs,0.44874553629636255,2.5999999999999943,0.45748954687818444,0.019859278303538286,15
noise_rate,mechanism,distance_corr,0.3293965552520157,13.145454545454527,0.00433238085074638,0.05711446887830168,11
noise_rate,mechanism,mutual_info_sklearn,0.3865110241303174,13.145454545454527,0.00433238085074638,0.05711446887830168,11
noise_rate,mechanism,pearson_abs,0.34374200203829663,13.145454545454527,0.00433238085074638,0.05711446887830168,11
noise_rate,mechanism,spearman_abs,0.3453237344342504,13.145454545454527,0.00433238085074638,0.05711446887830168,11
noise_rate,dataset,distance_corr,0.311504486365713,21.80000000000001,7.17895776236465e-05,0.061209286234893134,15
noise_rate,dataset,mutual_info_sklearn,0.3727137726006061,21.80000000000001,7.17895776236465e-05,0.061209286234893134,15
noise_rate,dataset,pearson_abs,0.3261156532787693,21.80000000000001,7.17895776236465e-05,0.061209286234893134,15
noise_rate,dataset,spearman_abs,0.3277324901154796,21.80000000000001,7.17895776236465e-05,0.061209286234893134,15
