method,source,mean_recovery_f1,mean_noise_rate,n_datasets,n_rows
FCD,modmrmr,0.6751610015498904,0.24660493827160493,15,108
FCQ,modmrmr,0.6618893966116188,0.2583333333333333,15,108
mrmr_selection_classif,external,0.6618893966116188,0.2583333333333333,15,108
ModMRMR,modmrmr,0.597839968673302,0.32037037037037036,15,108
MIQ,modmrmr,0.516181760626205,0.4506172839506173,15,108
MID,modmrmr,0.5039061247394581,0.4243827160493827,15,108
jmi,external,0.37287770708823337,0.623391812865497,8,57
cmim,external,0.3652765363291679,0.543859649122807,8,57
