dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,8,0.0,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.9002411146965925,0.01148700001067482
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,5,0.05,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.010566291981376708
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,5,0.1,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.010474125010659918
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,fixed_k,1,,0,0.0,0.0,0.0,0.0,0.0,0.9173627514967646,0.01619174997904338
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,fixed_k,2,,0,0.0,0.0,0.0,0.0,0.5,0.9123961010257415,0.0165222080249805
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,fixed_k,5,,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.01734058401780203
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,threshold,8,0.0,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.901761861152819,0.020011290995171294
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,threshold,5,0.05,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.018344582989811897
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,threshold,5,0.1,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.01858270901720971
parabola,nonlinear,regression,skb_f,,,,,fixed_k,1,,0,0.0,0.0,0.0,0.0,0.0,0.9173627514967646,0.00028033400303684175
parabola,nonlinear,regression,skb_f,,,,,fixed_k,2,,0,0.0,0.0,0.0,0.0,0.5,0.9138696335098978,0.0002650840033311397
parabola,nonlinear,regression,skb_f,,,,,fixed_k,5,,0,0.0,0.0,0.0,0.0,0.8,0.9062798002357245,0.0002742910000961274
parabola,nonlinear,regression,skb_mi,,,,,fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.007540374994277954
parabola,nonlinear,regression,skb_mi,,,,,fixed_k,2,,0,0.5,1.0,0.6666666666666666,0.0,0.0,0.9138854626621977,0.007267499982845038
parabola,nonlinear,regression,skb_mi,,,,,fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.2,0.4,0.9075623222656254,0.0074762500007636845
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07553124998230487
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,0.9898125331560315,0.07749741699080914
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9910318078411658,0.07855145802022889
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,6,0.0,1,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9906979139676909,0.08251975002349354
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.05,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07874812500085682
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07979658301337622
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07814570897608064
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,0.9888578582667505,0.07907720800722018
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9902926009034128,0.07899300000281073
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,8,0.0,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9902901123802759,0.08045462501468137
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,6,0.05,1,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9900530376460207,0.08079879201250151
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,6,0.1,1,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9900530376460207,0.08072470899787731
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.07557783400989138
