subset,n_blocks,friedman_p,nemenyi_nonlinear_vs_linear,rank_nonlinear,rank_linear
all15,15,0.0006112527611295687,0.0003706832559231543,1.3333333333333333,2.7333333333333334
no_xor,14,7.485182988770057e-05,4.111137740203663e-05,1.2142857142857142,2.857142857142857
