stop_mode,fixed_k,threshold,val_fixed_k,val_threshold
fixed_k,1.0,0.754657424414546,0.04103622515918992,0.04103622515918992
threshold,0.754657424414546,1.0,0.34975675187661637,0.34975675187661637
val_fixed_k,0.04103622515918992,0.34975675187661637,1.0,1.0
val_threshold,0.04103622515918992,0.34975675187661637,1.0,1.0
