treatment,avg_rank,friedman_p,friedman_stat,n_blocks
difference,1.8,0.5488116360940296,1.1999999999999886,15
multiplicative,2.0,0.5488116360940296,1.1999999999999886,15
quotient,2.2,0.5488116360940296,1.1999999999999886,15
