blocking,contrast,omnibus_friedman_p,n_blocks,mean_diff,sd_diff,ci95_lo,ci95_hi,tost90_lo,tost90_hi,equiv_margin_min,paired_t,paired_t_p,wilcoxon_stat,wilcoxon_p,cohen_dz,a_superior_at_alpha,a_wins_blocks
mechanism,multiplicative-quotient,0.91310071628226,11,0.028594387958228416,0.0647340439472249,-0.01489453451031007,0.0720833104267669,-0.006781316377671185,0.06397009229412802,0.06397009229412802,1.465022887255692,0.17363489649320493,20.0,0.2783203125,0.44172102057366114,False,6
mechanism,multiplicative-difference,0.91310071628226,11,0.018589572178034718,0.059665855104764645,-0.0214944946969716,0.058673639053041036,-0.014016480532893831,0.051195624888963266,0.051195624888963266,1.0333319755413597,0.32579166656331116,27.0,0.6376953125,0.3115613133406721,False,5
mechanism,difference-quotient,0.91310071628226,11,0.010004815780193698,0.10968215527391809,-0.06368065875586928,0.08369029031625669,-0.04993402411458617,0.06994365567497357,0.06994365567497357,0.3025307075399885,0.7684466449806027,30.0,0.8310546875,0.09121644040644411,False,6
dataset,multiplicative-quotient,0.5488116360940296,15,0.042772593128890674,0.0673469195191267,0.005477112217943593,0.08006807403983776,0.012145347577109483,0.07339983868067186,0.07339983868067186,2.4597641888468584,0.027521716140837454,24.0,0.041259765625,0.6351083826000853,True,9
dataset,multiplicative-difference,0.5488116360940296,15,0.006733358595796479,0.05608218851884439,-0.0243239222165007,0.03779063940809366,-0.018771044146189596,0.032237761337782556,0.032237761337782556,0.46499943019876433,0.6490818208470859,58.0,0.93408203125,0.12006233661038349,False,6
dataset,difference-quotient,0.5488116360940296,15,0.0360392345330942,0.11092103321713091,-0.025386786233856484,0.09746525530004488,-0.014404137568483973,0.08648260663467236,0.08648260663467236,1.2583668859584702,0.22884076915294452,39.0,0.25238037109375,0.3249089328490695,False,9
